,Country,Distance,Food Type,Monument,Price,Rating,Review Count
94,IT,2076.180793,Italian,Colosseum,2,4,440
95,IT,529.0575824,Italian,Colosseum,2,4,113
96,IT,1209.970378,Roman,Colosseum,2,4.5,181
97,IT,1255.932835,Italian,Colosseum,2,4,316
98,IT,1447.186354,Wine Bars,Colosseum,2,5,89
99,IT,1996.78333,Pizza,Colosseum,1,4.5,160
100,US,810.3892979,Burgers,Empire State Building,2,4,5342
101,US,624.2942566,Bagels,Empire State Building,1,4.5,2071
102,US,1576.689149,Food Stands,Empire State Building,1,4.5,8717
103,US,761.7126018,American (New),Empire State Building,4,4.5,1757
104,US,797.4929368,Italian,Empire State Building,2,4,4773
105,US,201.7288713,Tapas Bars,Empire State Building,2,4,1671
106,US,256.8742539,Steakhouses,Empire State Building,4,4,2060
107,US,142.6502709,Korean,Empire State Building,1,4,2338
108,US,864.1935959,Landmarks & Historical Buildings,Empire State Building,n/a,4.5,1209
109,US,628.6309288,Parks,Empire State Building,n/a,4.5,991
110,US,99.39792504,Coffee & Tea,Empire State Building,2,4,1558
111,US,446.186263,Italian,Empire State Building,3,4,1604
112,US,0.32657548,Landmarks & Historical Buildings,Empire State Building,n/a,4,1745
113,US,370.086902,Coffee & Tea,Empire State Building,2,4.5,1296
114,US,485.5600568,Mediterranean,Empire State Building,3,4,2048
115,US,1983.554583,Ramen,Empire State Building,2,4,9234
116,US,1126.675756,Seafood,Empire State Building,2,4,4213
117,US,1126.45714,American (New),Empire State Building,4,4.5,2447
118,US,66.82133823,Chicken Wings,Empire State Building,2,4,1663
119,US,459.7034603,French,Empire State Building,3,4,1288
120,US,35.67437448,Landmarks & Historical Buildings,Hollywood Sign,n/a,4,521
121,US,4392.452459,Bakeries,Hollywood Sign,1,4.5,7204
122,US,3311.776245,Breakfast & Brunch,Hollywood Sign,2,4,2815
123,US,3565.569291,Mediterranean,Hollywood Sign,3,4,1663
124,US,1012.122414,Parks,Hollywood Sign,n/a,4.5,212
125,US,2563.221158,Hot Dogs,Hollywood Sign,1,4.5,663
126,US,2578.596139,Cafes,Hollywood Sign,1,4,532
127,US,1629.614464,Parks,Hollywood Sign,n/a,4.5,164
128,US,1228.058014,Parks,Hollywood Sign,n/a,4.5,176
129,US,3775.901889,Performing Arts,Hollywood Sign,3,4,2065
130,US,2759.438583,Sandwiches,Hollywood Sign,2,4,496
131,US,2497.806706,Vegan,Hollywood Sign,1,4.5,359
132,US,2891.547129,Mexican,Hollywood Sign,2,4.5,472
133,US,2549.276974,Bars,Hollywood Sign,2,5,151
134,US,3676.379817,Seafood,Hollywood Sign,2,4,2332
135,US,2833.348291,Coffee & Tea,Hollywood Sign,1,5,165
136,US,3391.846867,Hookah Bars,Hollywood Sign,2,5,307
137,US,4084.956314,Dog Parks,Hollywood Sign,n/a,4,1624
138,US,3045.39285,American (Traditional),Hollywood Sign,2,3.5,1248
139,US,2240.670899,Breakfast & Brunch,Hollywood Sign,2,3.5,1009
140,US,370.7946439,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,4.5,1626
141,US,1075.019566,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,5,340
142,US,2019.141898,Parks,Golden Gate Bridge,n/a,5,343
143,US,4347.928882,French,Golden Gate Bridge,3,4.5,2499
144,US,2968.582115,Parks,Golden Gate Bridge,n/a,4.5,645
145,US,4298.037915,Desserts,Golden Gate Bridge,1,4,2093
146,US,4045.271224,Burmese,Golden Gate Bridge,2,4,1894
147,US,4234.744058,American (Traditional),Golden Gate Bridge,4,4,1725
148,US,932.4788703,Parks,Golden Gate Bridge,n/a,4.5,91
149,US,4051.480389,Pizza,Golden Gate Bridge,2,4.5,1130
150,US,1178.201691,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,4.5,128
151,US,4451.112504,Parks,Golden Gate Bridge,n/a,5,362
152,US,3132.366303,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,4.5,211
153,US,4208.866348,Dim Sum,Golden Gate Bridge,1,4,1389
154,US,1987.981435,American (New),Golden Gate Bridge,3,3.5,593
155,US,4233.735758,Japanese,Golden Gate Bridge,2,4,930
156,US,3951.066681,American (New),Golden Gate Bridge,2,4,709
157,US,4054.54225,German,Golden Gate Bridge,2,4.5,373
158,US,3386.404663,Landmarks & Historical Buildings,Golden Gate Bridge,n/a,4.5,147
159,US,1452.937545,Coffee & Tea,Golden Gate Bridge,2,4,226
160,FR,0.2888783,Churches,Notre Dame Cathedral,n/a,4.5,765
161,FR,839.3941118,Kosher,Notre Dame Cathedral,1,4.5,1384
162,FR,817.9877254,Tapas Bars,Notre Dame Cathedral,2,4.5,504
163,FR,494.1024037,Bistros,Notre Dame Cathedral,3,4.5,293
