,Country,Distance,Food Type,Monument,Price,Rating,Review Count
87,IT,1577.495672862822,Churches,Colosseum,n/a,4.5,355
88,IT,585.658257332094,Gelato,Colosseum,1,4.5,111
89,IT,2014.496789558154,Ice Cream & Frozen Yogurt,Colosseum,1,4.5,387
90,IT,1599.5263660242358,Coffee & Tea,Colosseum,1,4.5,234
91,IT,544.1680786045879,Mediterranean,Colosseum,1,4.5,103
92,IT,1627.181478143654,Gluten-Free,Colosseum,3,4.5,178
93,IT,1427.273143784262,Italian,Colosseum,2,4.0,399
94,IT,2076.180793440676,Italian,Colosseum,2,4.0,440
95,IT,529.057582365852,Italian,Colosseum,2,4.0,113
96,IT,1209.970378413502,Roman,Colosseum,2,4.5,181
97,IT,1255.932835108952,Italian,Colosseum,2,4.0,316
98,IT,1447.186353956168,Wine Bars,Colosseum,2,5.0,89
99,IT,1996.7833302272159,Pizza,Colosseum,1,4.5,160
100,US,810.389297919572,Burgers,Empire State Building,2,4.0,5342
101,US,624.294256602738,Bagels,Empire State Building,1,4.5,2071
102,US,1576.689148581274,Food Stands,Empire State Building,1,4.5,8717
103,US,761.712601766026,American (New),Empire State Building,4,4.5,1757
104,US,797.492936802724,Italian,Empire State Building,2,4.0,4773
105,US,201.728871266272,Tapas Bars,Empire State Building,2,4.0,1671
106,US,256.874253866654,Steakhouses,Empire State Building,4,4.0,2060
107,US,142.650270879128,Korean,Empire State Building,1,4.0,2338
108,US,864.193595932798,Landmarks & Historical Buildings,Empire State Building,n/a,4.5,1209
109,US,628.630928846404,Parks,Empire State Building,n/a,4.5,991
110,US,99.39792504093799,Coffee & Tea,Empire State Building,2,4.0,1558
111,US,446.186263006662,Italian,Empire State Building,3,4.0,1604
112,US,0.326575480434,Landmarks & Historical Buildings,Empire State Building,n/a,4.0,1745
113,US,370.08690200967396,Coffee & Tea,Empire State Building,2,4.5,1296
114,US,485.56005679734193,Mediterranean,Empire State Building,3,4.0,2048
115,US,1983.5545827859958,Ramen,Empire State Building,2,4.0,9234
116,US,1126.675756124386,Seafood,Empire State Building,2,4.0,4213
117,US,1126.457139838238,American (New),Empire State Building,4,4.5,2447
118,US,66.821338225852,Chicken Wings,Empire State Building,2,4.0,1663
119,US,459.703460341848,French,Empire State Building,3,4.0,1288
120,US,35.674374481758,Landmarks & Historical Buildings,Hollywood Sign,n/a,4.0,521
121,US,4392.452459236568,Bakeries,Hollywood Sign,1,4.5,7204
122,US,3311.7762446339216,Breakfast & Brunch,Hollywood Sign,2,4.0,2815
123,US,3565.569290737386,Mediterranean,Hollywood Sign,3,4.0,1663
124,US,1012.1224139810279,Parks,Hollywood Sign,n/a,4.5,212
125,US,2563.221157541102,Hot Dogs,Hollywood Sign,1,4.5,663
