Rank of Distance,Distance,Normalized Distance,Price,Rating,Review Count
1,229.03428013826144,1.0,2.3055555555555554,3.861111111111111,161.52777777777777
2,329.5639317724874,3328626239.402129,2.25,4.080882352941177,346.9852941176471
3,360.979727348165,4747478646.131815,2.2650602409638556,4.048192771084337,262.8072289156627
4,468.10702418587607,2427248665.6693325,2.1627906976744184,4.133720930232558,312.13953488372096
5,591.2753847502718,7395788741.103016,2.2470588235294118,4.141176470588236,319.43529411764706
6,584.2352164992006,7720936946.644762,2.2247191011235956,4.01685393258427,275.5056179775281
7,596.3377061202472,8541018700.955638,2.1222222222222222,4.111111111111111,238.93333333333334
8,643.8291923539105,14430406463.817884,2.0930232558139537,4.0813953488372094,356.0348837209302
9,629.6375834115115,9356659050.781881,2.104651162790698,4.145348837209302,231.8372093023256
10,657.00063499285,7628352912.303437,2.1566265060240966,4.168674698795181,300.3855421686747
11,757.2614832707312,9310070284.357498,2.1235955056179776,4.084269662921348,223.51685393258427
12,695.0501670771989,7931732525.180923,2.097560975609756,4.134146341463414,495.2926829268293
13,790.6435862729023,21095299507.198383,2.1904761904761907,4.148809523809524,275.5833333333333
14,794.875548181738,14207244328.959322,2.1204819277108435,4.048192771084337,303.5421686746988
15,814.0895773304461,15760965744.225004,2.2142857142857144,4.041666666666667,317.6309523809524
16,828.6719030196922,17900258364.9983,2.2125,4.14375,274.475
17,931.4102801338506,17614138417.727825,2.1012658227848102,4.1645569620253164,265.746835443038
18,880.4088147619179,18556937644.329758,2.108433734939759,4.174698795180723,447.0722891566265
19,963.0370549031213,18539207776.749966,2.0714285714285716,4.190476190476191,427.0238095238095
20,1030.124219773609,18803994646.616295,2.317073170731707,4.2073170731707314,306.8780487804878
21,1077.260538626206,18816418522.20271,2.0120481927710845,4.13855421686747,332.7469879518072
22,1065.822437263163,19619665537.767403,2.302325581395349,4.156976744186046,244.62790697674419
23,1045.2336207584108,19998903881.658707,2.146067415730337,4.117977528089888,315.4943820224719
24,1126.8866843101325,20925623246.18308,2.1547619047619047,4.148809523809524,350.6309523809524
25,1169.498664093247,21993413944.611263,2.0864197530864197,4.179012345679013,477.6296296296296
26,1182.3135427118968,21226097346.847076,2.2906976744186047,4.162790697674419,311.5348837209302
27,1191.0540282807422,24439776888.67145,2.0689655172413794,4.137931034482759,478.8735632183908
28,1250.1840907207047,24771054680.71705,2.207317073170732,4.152439024390244,416.4756097560976
29,1285.392397765212,24843349540.16215,2.0481927710843375,4.174698795180723,490.10843373493975
30,1277.3091561189676,28502606185.180393,2.0352941176470587,4.1647058823529415,380.4117647058824
31,1322.5392805321535,31208861968.35925,2.246913580246914,4.098765432098766,585.5432098765432
32,1379.164176695376,19514872203.04373,2.0588235294117645,4.158823529411765,470.5764705882353
33,1350.8013857220585,15683819321.789122,2.104651162790698,4.191860465116279,358.24418604651163
34,1393.0439593485312,31553170019.7463,2.037037037037037,4.191358024691358,476.9382716049383
35,1454.2734804565057,31024117870.97648,2.0434782608695654,4.1521739130434785,402.3804347826087
36,1472.8474531388792,22526347558.035225,1.9880952380952381,4.1726190476190474,528.5595238095239
37,1543.5493316174473,34799521575.4547,2.0113636363636362,4.25,505.15909090909093
38,1514.2816636667105,38713399678.25723,2.103448275862069,4.189655172413793,451.13793103448273
39,1577.9119357990082,40716665580.94223,2.1511627906976742,4.215116279069767,544.8372093023256
40,1639.3075137880478,38212790831.710915,2.2674418604651163,4.174418604651163,476.8255813953488
41,1669.9446777804917,41662953645.44893,2.1707317073170733,4.213414634146342,472.0365853658537
42,1751.8884921515453,42724050930.23347,2.0126582278481013,4.2025316455696204,433.1392405063291
43,1801.7056087107262,45544933512.85959,2.108433734939759,4.186746987951807,645.8915662650602
44,1816.3113501961639,52352794252.14463,2.049382716049383,4.246913580246914,557.9876543209876
45,1867.582406711297,47759350962.35101,2.107142857142857,4.285714285714286,627.4880952380952
46,1981.5763394030757,817.4722663136708,2.0789473684210527,4.2894736842105265,740.0921052631579
47,2067.0806123280713,36559865784.89464,1.95,4.2875,735.4125
48,2181.8810764347922,67562759196.06431,1.9878048780487805,4.262195121951219,642.9634146341464
49,2328.0981113560006,54295524787.73311,2.141025641025641,4.326923076923077,785.3205128205128
50,2929.825724567803,100720804763.46625,2.0632911392405062,4.348101265822785,913.2784810126582
