,Country,Distance,Food Type,Monument,Price,Rank of Distance,Rating,Review Count
85,FR,464.0091847631206,Italian,Eiffel Tower,3,10,4.0,64
86,FR,1180.2677500595305,Creperies,Eiffel Tower,2,37,4.5,104
87,FR,869.4175306776664,French,Eiffel Tower,4,27,5.0,41
88,FR,444.5178743101532,French,Eiffel Tower,3,9,4.5,37
89,FR,1289.1595898397218,Landmarks & Historical Buildings,Eiffel Tower,n/a,41,4.5,76
90,FR,603.4803838881967,Italian,Eiffel Tower,3,19,4.5,42
91,FR,1604.9553147083836,Local Flavor,Eiffel Tower,n/a,44,4.0,263
92,FR,570.5865115820052,French,Eiffel Tower,4,16,4.0,65
93,FR,750.5166626099507,Moroccan,Eiffel Tower,2,23,4.5,34
94,FR,1035.9291478652235,French,Eiffel Tower,4,34,3.5,132
95,FR,1671.6642389260899,French,Eiffel Tower,4,45,4.0,172
96,FR,990.1543127926512,French,Eiffel Tower,3,33,4.5,61
97,FR,1897.7126652127406,Coffee & Tea,Eiffel Tower,2,48,4.0,228
98,FR,665.2184973993733,French,Eiffel Tower,3,21,4.5,40
99,FR,1571.317501633662,Cultural Center,Eiffel Tower,n/a,43,4.5,96
100,GB,5.932136002836835,Landmarks & Historical Buildings,Big Ben,n/a,1,4.5,403
101,GB,1312.9244672982652,Indian,Big Ben,2,24,4.5,1153
102,GB,456.3767337002864,Local Flavor,Big Ben,n/a,5,4.0,876
103,GB,246.48227438782507,Churches,Big Ben,n/a,3,4.5,296
104,GB,913.1816369594092,Coffee & Tea,Big Ben,1,11,4.5,306
105,GB,806.5380231330371,Wine Bars,Big Ben,2,9,4.5,371
106,GB,116.28260861421641,Landmarks & Historical Buildings,Big Ben,n/a,2,4.5,158
107,GB,368.07091567111723,Landmarks & Historical Buildings,Big Ben,n/a,4,4.5,166
108,GB,743.3665777559283,Parks,Big Ben,n/a,7,4.5,165
109,GB,1421.887663040349,British,Big Ben,3,29,4.5,286
110,GB,1368.55941579141,Cafes,Big Ben,3,26,4.0,428
111,GB,1524.1488224601164,Coffee & Tea,Big Ben,2,34,4.5,272
112,GB,1615.8790091929109,Dim Sum,Big Ben,3,44,4.0,441
113,GB,1976.8396568410706,Parks,Big Ben,n/a,49,4.5,343
114,GB,1588.6366476897815,Indian,Big Ben,2,39,4.0,411
115,GB,1585.323120300402,Steakhouses,Big Ben,2,38,4.5,288
116,GB,1520.756379422461,Burgers,Big Ben,2,33,4.5,238
117,GB,1718.324194218995,Indian,Big Ben,2,47,4.5,289
118,GB,1546.2370263397838,Mediterranean,Big Ben,3,37,4.5,232
119,GB,1507.9673403715947,Seafood,Big Ben,2,32,4.0,252
120,GB,1696.956017765741,British,Big Ben,1,46,4.0,327
121,GB,1072.445430477322,Japanese,Big Ben,2,16,4.0,297
122,GB,1529.4464394135684,Pizza,Big Ben,2,35,4.5,178
123,GB,1124.0388712588667,Steakhouses,Big Ben,2,17,4.5,114
124,GB,848.9620580214174,Landmarks & Historical Buildings,Big Ben,n/a,10,4.0,190
125,GB,1780.133591171062,French,Big Ben,3,48,4.0,528
126,GB,1229.3904073427,Chinese,Big Ben,1,20,4.0,259
127,GB,1637.6620717298847,British,Big Ben,2,45,4.5,200
128,GB,932.5706780802361,Indian,Big Ben,3,12,4.5,129
129,GB,997.6472360122873,Pubs,Big Ben,1,14,4.5,121
130,GB,1606.841422996985,American (Traditional),Big Ben,2,42,4.5,189
131,GB,1361.3506419311325,Coffee & Tea,Big Ben,2,25,4.5,130
132,GB,1198.2768014501573,Landmarks & Historical Buildings,Big Ben,n/a,19,4.0,277
133,GB,1057.9965594726625,Mexican,Big Ben,2,15,4.0,263
134,GB,1537.9078695004075,Mexican,Big Ben,2,36,4.0,293
135,GB,1592.0270999665288,Vegan,Big Ben,2,40,4.0,256
136,GB,1596.3902675011436,Thai,Big Ben,2,41,4.0,354
137,GB,1278.3290044311912,Seafood,Big Ben,3,21,4.5,113
138,GB,1474.5456404983013,Japanese,Big Ben,2,31,3.5,329
139,GB,508.7367492003398,Indian,Big Ben,4,6,4.0,143
140,GB,2263.189350900789,Landmarks & Historical Buildings,Big Ben,n/a,50,4.5,264
141,GB,1296.1529849303429,Desserts,Big Ben,4,23,4.0,153
142,GB,1453.2862166960385,Belgian,Big Ben,2,30,4.0,309
143,GB,1609.1042141102803,Italian,Big Ben,2,43,4.0,285
144,GB,1397.4223425577413,French,Big Ben,4,28,4.0,138
145,GB,965.5284682167066,Spanish,Big Ben,3,13,4.5,56
146,GB,778.8624385237016,Fish & Chips,Big Ben,1,8,4.0,147
147,GB,1288.265639591934,Middle Eastern,Big Ben,3,22,4.5,71
148,GB,1127.5829841010975,British,Big Ben,3,18,4.0,170
149,GB,1378.5984633682747,Italian,Big Ben,3,27,4.0,154
150,IT,5.317613818173611,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,1,4.0,189
151,IT,300.83342151314514,Italian,Leaning Tower of Pisa,2,16,4.5,81
152,IT,26.031465481227738,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,2,4.5,48
153,IT,315.1673463969031,Italian,Leaning Tower of Pisa,1,17,4.5,27
154,IT,153.56366316337375,Churches,Leaning Tower of Pisa,n/a,7,4.5,18
155,IT,254.78502249477302,Pizza,Leaning Tower of Pisa,1,14,4.5,15
156,IT,434.30086431872104,Italian,Leaning Tower of Pisa,3,24,4.5,16
157,IT,137.65743217599896,Italian,Leaning Tower of Pisa,2,5,4.0,13
158,IT,1306.6514244498367,Tuscan,Leaning Tower of Pisa,1,49,4.0,20
159,IT,375.6482226451668,Trattorie,Leaning Tower of Pisa,2,20,4.5,13
160,IT,668.2541539319667,Pizza,Leaning Tower of Pisa,2,32,4.5,15
161,IT,353.00700200709747,Cafes,Leaning Tower of Pisa,1,18,4.5,12
162,IT,139.38681527723597,Italian,Leaning Tower of Pisa,2,6,3.5,20
163,IT,195.5165281577087,Italian,Leaning Tower of Pisa,1,13,4.0,12
164,IT,566.2359355175137,Italian,Leaning Tower of Pisa,2,30,4.0,14
165,IT,1150.8757129957057,Italian,Leaning Tower of Pisa,2,45,4.5,13
166,IT,1222.8702142189884,Cafes,Leaning Tower of Pisa,1,47,4.0,13
167,IT,572.9710127952939,Mediterranean,Leaning Tower of Pisa,n/a,31,4.5,8
168,IT,479.6344416002309,Landmarks & Historical Buildings,Leaning Tower of Pisa,n/a,26,5.0,5
169,IT,508.68627249010495,Indian,Leaning Tower of Pisa,2,27,4.5,6
170,IT,556.2760356040596,Breakfast & Brunch,Leaning Tower of Pisa,1,28,4.0,10
171,IT,842.7642601975438,Pubs,Leaning Tower of Pisa,2,39,4.0,15
172,IT,838.1471426076256,Seafood,Leaning Tower of Pisa,2,38,4.0,12
173,IT,1199.1849664040728,Baguettes,Leaning Tower of Pisa,n/a,46,5.0,6
174,IT,1246.3913727380032,Pizza,Leaning Tower of Pisa,2,48,4.0,13
175,IT,104.83337566584854,Italian,Leaning Tower of Pisa,2,4,3.5,13
176,IT,726.4803254611606,Tuscan,Leaning Tower of Pisa,2,34,4.0,12
177,IT,727.2941038800336,Tuscan,Leaning Tower of Pisa,2,35,4.0,9
178,IT,917.4932305391653,Italian,Leaning Tower of Pisa,2,41,5.0,4
179,IT,156.50576791120227,Wine Bars,Leaning Tower of Pisa,n/a,8,4.5,8
180,IT,563.1778099225597,Vegan,Leaning Tower of Pisa,1,29,5.0,4
181,IT,1556.0603891654248,Seafood,Leaning Tower of Pisa,3,50,4.5,9
182,IT,427.54928554963277,Italian,Leaning Tower of Pisa,2,23,4.0,8
183,IT,415.74393698730825,Italian,Leaning Tower of Pisa,2,21,4.0,8
184,IT,156.7010906852781,Italian,Leaning Tower of Pisa,2,9,3.0,17
185,IT,454.9239830427337,Cantonese,Leaning Tower of Pisa,2,25,5.0,3
186,IT,186.17082251890716,Pizza,Leaning Tower of Pisa,1,12,4.0,6
187,IT,970.9056618441399,Pizza,Leaning Tower of Pisa,1,44,5.0,3
