,Country,Distance,Food Type,Monument,Price,Rating,Review Count
146,US,4045.2712244062077,Burmese,Golden Gate Bridge,2,4.0,1894
147,US,4234.744058111096,American (Traditional),Golden Gate Bridge,4,4.0,1725
149,US,4051.4803890065114,Pizza,Golden Gate Bridge,2,4.5,1130
153,US,4208.866347597604,Dim Sum,Golden Gate Bridge,1,4.0,1391
154,US,1987.981435362166,American (New),Golden Gate Bridge,3,3.5,593
155,US,4233.735758159962,Japanese,Golden Gate Bridge,2,4.0,931
156,US,3951.0666805834394,American (New),Golden Gate Bridge,2,4.0,708
157,US,4054.542250249826,German,Golden Gate Bridge,2,4.5,373
159,US,1452.937544649322,Coffee & Tea,Golden Gate Bridge,2,4.0,226
161,FR,839.394111837176,Kosher,Notre Dame Cathedral,1,4.5,1385
162,FR,817.9877254358099,Tapas Bars,Notre Dame Cathedral,2,4.5,503
163,FR,494.10240374455196,Bistros,Notre Dame Cathedral,3,4.5,293
165,FR,1325.5677113239758,French,Notre Dame Cathedral,2,4.5,571
167,FR,609.907998125746,Bistros,Notre Dame Cathedral,2,4.5,196
168,FR,797.8428034563079,Brasseries,Notre Dame Cathedral,3,4.5,206
169,FR,810.89883218351,Creperies,Notre Dame Cathedral,1,4.5,137
170,FR,608.023392266928,Lebanese,Notre Dame Cathedral,1,4.5,136
171,FR,823.297594545596,Brasseries,Notre Dame Cathedral,3,4.0,371
172,FR,378.602296857102,Bistros,Notre Dame Cathedral,3,4.5,114
173,FR,1045.8884552996778,Bistros,Notre Dame Cathedral,2,4.5,252
174,FR,460.80769208477795,Cafes,Notre Dame Cathedral,2,4.0,168
175,FR,193.54288498141398,French,Notre Dame Cathedral,3,4.5,107
176,FR,679.3302615365579,Modern European,Notre Dame Cathedral,4,4.0,182
177,FR,376.74431752858396,Basque,Notre Dame Cathedral,2,4.0,185
178,FR,779.806004223006,French,Notre Dame Cathedral,3,4.5,148
179,FR,573.242521582896,Breakfast & Brunch,Notre Dame Cathedral,2,4.0,252
181,JP,2257.784468890628,Sushi Bars,Tokyo Tower,2,4.5,299
184,JP,2251.6449986902317,Sushi Bars,Tokyo Tower,2,4.5,191
185,JP,2397.84215675962,Ramen,Tokyo Tower,1,4.5,133
192,JP,3129.676398879392,Ramen,Tokyo Tower,1,4.5,170
193,JP,3051.3428156223717,Vegan,Tokyo Tower,1,4.5,110
200,GB,1136.848258597024,Indian,London Eye,2,4.5,1150
204,GB,578.0713267798819,Wine Bars,London Eye,2,4.5,371
205,GB,1357.088049833836,Coffee & Tea,London Eye,1,4.5,306
206,GB,1208.4472589649358,British,London Eye,3,4.5,286
210,GB,1326.6552926743318,Coffee & Tea,London Eye,2,4.5,272
211,GB,1371.322058470402,Indian,London Eye,2,4.0,411
212,GB,1560.7091164454318,Cafes,London Eye,3,4.0,428
213,GB,1580.0654137056679,Dim Sum,London Eye,3,4.0,441
214,GB,1453.3908347333359,Burgers,London Eye,2,4.5,238
215,GB,1630.9403120323,Steakhouses,London Eye,2,4.5,288
216,GB,1763.030867441166,Indian,London Eye,2,4.5,287
217,GB,892.5204081049899,Steakhouses,London Eye,2,4.5,114
218,GB,1487.7881472308839,Pubs,London Eye,2,4.0,295
219,GB,1324.470262144476,Pizza,London Eye,2,4.5,178
220,IT,791.708205210894,Pizza,St. Peter's Basilica,2,4.5,385
222,IT,341.39284279469996,Pizza,St. Peter's Basilica,1,5.0,134
223,IT,1432.92456119104,Ice Cream & Frozen Yogurt,St. Peter's Basilica,1,4.5,387
