,Country,Distance,Food Type,Monument,Price,Rating,Review Count
122,US,3311.776245,Breakfast & Brunch,Hollywood Sign,2,4.0,2815
123,US,3565.569291,Mediterranean,Hollywood Sign,3,4.0,1663
125,US,2563.221158,Hot Dogs,Hollywood Sign,1,4.5,663
126,US,2578.596139,Cafes,Hollywood Sign,1,4.0,532
129,US,3775.901889,Performing Arts,Hollywood Sign,3,4.0,2065
130,US,2759.4385829999997,Sandwiches,Hollywood Sign,2,4.0,496
131,US,2497.806706,Vegan,Hollywood Sign,1,4.5,359
132,US,2891.547129,Mexican,Hollywood Sign,2,4.5,472
133,US,2549.276974,Bars,Hollywood Sign,2,5.0,151
134,US,3676.379817,Seafood,Hollywood Sign,2,4.0,2332
135,US,2833.348291,Coffee & Tea,Hollywood Sign,1,5.0,165
136,US,3391.846867,Hookah Bars,Hollywood Sign,2,5.0,307
138,US,3045.39285,American (Traditional),Hollywood Sign,2,3.5,1248
139,US,2240.6708989999997,Breakfast & Brunch,Hollywood Sign,2,3.5,1009
143,US,4347.928882,French,Golden Gate Bridge,3,4.5,2499
145,US,4298.037915,Desserts,Golden Gate Bridge,1,4.0,2093
146,US,4045.271224,Burmese,Golden Gate Bridge,2,4.0,1894
147,US,4234.744058,American (Traditional),Golden Gate Bridge,4,4.0,1725
149,US,4051.4803890000003,Pizza,Golden Gate Bridge,2,4.5,1130
153,US,4208.866348,Dim Sum,Golden Gate Bridge,1,4.0,1389
154,US,1987.9814350000001,American (New),Golden Gate Bridge,3,3.5,593
155,US,4233.735758,Japanese,Golden Gate Bridge,2,4.0,930
156,US,3951.0666810000002,American (New),Golden Gate Bridge,2,4.0,709
157,US,4054.54225,German,Golden Gate Bridge,2,4.5,373
159,US,1452.937545,Coffee & Tea,Golden Gate Bridge,2,4.0,226
161,FR,839.3941117999999,Kosher,Notre Dame Cathedral,1,4.5,1384
162,FR,817.9877253999999,Tapas Bars,Notre Dame Cathedral,2,4.5,504
163,FR,494.10240369999997,Bistros,Notre Dame Cathedral,3,4.5,293
165,FR,1325.567711,French,Notre Dame Cathedral,2,4.5,570
167,FR,609.9079981000001,Bistros,Notre Dame Cathedral,2,4.5,195
168,FR,797.8428035000001,Brasseries,Notre Dame Cathedral,3,4.5,206
169,FR,810.8988322,Creperies,Notre Dame Cathedral,1,4.5,137
170,FR,608.0233923,Lebanese,Notre Dame Cathedral,1,4.5,136
171,FR,823.2975945000001,Brasseries,Notre Dame Cathedral,3,4.0,371
172,FR,378.60229689999994,Bistros,Notre Dame Cathedral,3,4.5,114
173,FR,1045.888455,Bistros,Notre Dame Cathedral,2,4.5,252
174,FR,460.8076921,Cafes,Notre Dame Cathedral,2,4.0,168
175,FR,193.542885,French,Notre Dame Cathedral,3,4.5,107
176,FR,679.3302615,Modern European,Notre Dame Cathedral,4,4.0,182
177,FR,376.74431749999997,Basque,Notre Dame Cathedral,2,4.0,185
178,FR,779.8060042000001,French,Notre Dame Cathedral,3,4.5,148
179,FR,903.0438204,Fondue,Notre Dame Cathedral,2,4.5,200
181,JP,2257.784469,Sushi Bars,Tokyo Tower,2,4.5,297
182,JP,112.7446791,Kaiseki,Tokyo Tower,3,5.0,35
183,JP,1461.23378,Sushi Bars,Tokyo Tower,4,4.5,74
184,JP,2251.6449989999996,Sushi Bars,Tokyo Tower,2,4.5,190
185,JP,2397.842157,Ramen,Tokyo Tower,1,4.5,133
186,JP,1803.809779,Sushi Bars,Tokyo Tower,4,4.5,74
187,JP,1428.278315,American (Traditional),Tokyo Tower,2,4.0,88
188,JP,1161.493658,Izakaya,Tokyo Tower,2,4.5,56
189,JP,1411.521234,Tonkatsu,Tokyo Tower,2,4.5,33
190,JP,2020.757362,Sushi Bars,Tokyo Tower,4,5.0,42
191,JP,1405.332347,Ramen,Tokyo Tower,1,4.5,41
192,JP,3129.676399,Ramen,Tokyo Tower,1,4.5,168
193,JP,3051.342816,Vegan,Tokyo Tower,1,4.5,108
194,JP,1333.321324,Steakhouses,Tokyo Tower,2,4.5,28
195,JP,2005.9438710000002,Steakhouses,Tokyo Tower,4,4.5,64
196,JP,948.0609029999999,Ramen,Tokyo Tower,1,4.5,28
197,JP,1129.297069,Pizza,Tokyo Tower,2,4.0,45
198,JP,713.4702119,Ramen,Tokyo Tower,1,4.5,26
199,JP,2617.5968559999997,Cafes,Tokyo Tower,1,5.0,56
200,GB,1136.848259,Indian,London Eye,2,4.5,1147
204,GB,578.0713268,Wine Bars,London Eye,2,4.5,371
205,GB,1357.08805,Coffee & Tea,London Eye,1,4.5,306
206,GB,1208.447259,British,London Eye,3,4.5,286
210,GB,1326.655293,Coffee & Tea,London Eye,2,4.5,272
211,GB,1371.322058,Indian,London Eye,2,4.0,410
212,GB,1560.709116,Cafes,London Eye,3,4.0,427
213,GB,1580.0654140000001,Dim Sum,London Eye,3,4.0,441
214,GB,1453.390835,Burgers,London Eye,2,4.5,238
215,GB,1630.940312,Steakhouses,London Eye,2,4.5,287
216,GB,1763.0308670000002,Indian,London Eye,2,4.5,287
217,GB,892.5204081,Steakhouses,London Eye,2,4.5,112
218,GB,1487.788147,Pubs,London Eye,2,4.0,294
219,GB,1324.4702619999998,Pizza,London Eye,2,4.5,178
220,IT,791.7082052000001,Pizza,St. Peter's Basilica,2,4.5,385
222,IT,341.39284280000004,Pizza,St. Peter's Basilica,1,5.0,133
223,IT,1432.924561,Ice Cream & Frozen Yogurt,St. Peter's Basilica,1,4.5,387
225,IT,1397.949106,Italian,St. Peter's Basilica,2,4.0,440
226,IT,436.5264882,Pasta Shops,St. Peter's Basilica,1,4.5,108
227,IT,727.6371042999999,Roman,St. Peter's Basilica,2,4.0,143
228,IT,690.4439445,Wine Bars,St. Peter's Basilica,1,4.5,80
229,IT,1966.8086399999997,Coffee & Tea,St. Peter's Basilica,1,4.5,234
230,IT,523.2030376,Sandwiches,St. Peter's Basilica,1,4.5,85
232,IT,1695.831702,Pizza,St. Peter's Basilica,2,4.5,284
233,IT,1789.344554,Italian,St. Peter's Basilica,2,4.5,238
234,IT,1617.955838,Roman,St. Peter's Basilica,2,4.0,319
235,IT,1814.4480620000002,Bars,St. Peter's Basilica,1,4.0,287
236,IT,1448.0873119999999,Sandwiches,St. Peter's Basilica,1,4.5,120
237,IT,1521.9388470000001,Italian,St. Peter's Basilica,2,4.5,213
238,IT,1259.971775,Italian,St. Peter's Basilica,2,4.5,78
239,IT,2307.774582,Wine Bars,St. Peter's Basilica,2,5.0,89
241,ES,1679.8088739999998,Tapas Bars,Sagrada Familia,2,4.0,879
242,ES,1269.949703,Tapas Bars,Sagrada Familia,2,4.5,316
243,ES,122.7649604,Seafood,Sagrada Familia,2,4.5,146
245,ES,1761.640934,Tapas Bars,Sagrada Familia,2,4.0,745
247,ES,190.7297356,Cafeteria,Sagrada Familia,2,5.0,44
248,ES,2012.26625,Breakfast & Brunch,Sagrada Familia,2,4.5,601
249,ES,1673.250662,Tapas/Small Plates,Sagrada Familia,2,4.5,125
250,ES,2736.23398,Argentine,Sagrada Familia,1,4.5,419
252,ES,2128.395298,Vegetarian,Sagrada Familia,2,4.5,315
253,ES,1415.498253,Burgers,Sagrada Familia,1,4.0,203
254,ES,2826.490159,Spanish,Sagrada Familia,2,4.5,415
255,ES,169.8957064,Mexican,Sagrada Familia,2,4.0,93
